"Year","Ethnicity","%","Number"
"2017","All","100.0","25,190"
"2017","Asian","5.2","1,300"
"2017","Bangladeshi","0.6","140"
"2017","Indian","2.6","660"
"2017","Pakistani","1.3","330"
"2017","Asian other","0.7","170"
"2017","Black","10.6","2,670"
"2017","Black African","4.4","1,100"
"2017","Black Caribbean","4.5","1,130"
"2017","Black other","1.7","440"
"2017","Mixed","3.1","790"
"2017","Mixed White/Asian","0.5","130"
"2017","Mixed White/Black African","0.6","140"
"2017","Mixed White/Black Caribbean","1.2","290"
"2017","Mixed other","0.9","220"
"2017","White","80.0","20,160"
"2017","White British","73.1","18,420"
"2017","White Irish","1.6","390"
"2017","White other","5.3","1,350"
"2017","Other inc Chinese","1.1","280"
"2017","Chinese","0.1","30"
"2017","Any other","1.0","250"
"2018","All","100.0","26,280"
"2018","Asian","5.3","1,400"
"2018","Bangladeshi","0.6","150"
"2018","Indian","2.5","660"
"2018","Pakistani","1.4","380"
"2018","Asian other","0.8","210"
"2018","Black","11.1","2,920"
"2018","Black African","4.8","1,270"
"2018","Black Caribbean","4.4","1,140"
"2018","Black other","1.9","500"
"2018","Mixed","3.3","880"
"2018","Mixed White/Asian","0.6","150"
"2018","Mixed White/Black African","0.5","140"
"2018","Mixed White/Black Caribbean","1.3","340"
"2018","Mixed other","0.9","250"
"2018","White","79.0","20,770"
"2018","White British","71.7","18,830"
"2018","White Irish","2.5","650"
"2018","White other","4.9","1,290"
"2018","Other inc Chinese","1.2","310"
"2018","Chinese","0.1","40"
"2018","Any other","1.1","280"
"2019","All","100.0","26,880"
"2019","Asian","5.5","1,470"
"2019","Bangladeshi","0.6","170"
"2019","Indian","2.7","710"
"2019","Pakistani","1.6","420"
"2019","Asian other","0.7","180"
"2019","Black","12.0","3,230"
"2019","Black African","5.5","1,480"
"2019","Black Caribbean","4.4","1,180"
"2019","Black other","2.1","570"
"2019","Mixed","3.5","930"
"2019","Mixed White/Asian","0.6","160"
"2019","Mixed White/Black African","0.5","140"
"2019","Mixed White/Black Caribbean","1.4","380"
"2019","Mixed other","0.9","250"
"2019","White","78.0","20,980"
"2019","White British","70.8","19,040"
"2019","White Irish","1.4","390"
"2019","White other","5.7","1,550"
"2019","Other inc Chinese","1.0","270"
"2019","Chinese","0.2","40"
"2019","Any other","0.8","230"
"2020","All","100.0","27,510"
"2020","Asian","5.6","1,530"
"2020","Bangladeshi","0.6","170"
"2020","Indian","2.6","730"
"2020","Pakistani","1.6","430"
"2020","Asian other","0.7","200"
"2020","Black","12.3","3,380"
"2020","Black African","6.0","1,640"
"2020","Black Caribbean","4.3","1,180"
"2020","Black other","2.0","560"
"2020","Mixed","3.5","970"
"2020","Mixed White/Asian","0.7","190"
"2020","Mixed White/Black African","0.5","150"
"2020","Mixed White/Black Caribbean","1.4","390"
"2020","Mixed other","0.9","250"
"2020","White","77.7","21,370"
"2020","White British","71.4","19,650"
"2020","White Irish","1.3","350"
"2020","White other","5.0","1,370"
"2020","Other inc Chinese","1.0","260"
"2020","Chinese","0.1","40"
"2020","Any other","0.8","220"
