"Measure","Ethnicity","Ethnicity_type","Year","Geographic_level","Country_code","Country_name","Headcount","Value","Value_type"
"Ethnicity of children and family social workers","Asian","ONS 2011 18+1","2017","National","E92000001","England","1330","5.3","%"
"Ethnicity of children and family social workers","Bangladeshi","ONS 2011 18+1","2017","National","E92000001","England","140","0.6","%"
"Ethnicity of children and family social workers","Indian","ONS 2011 18+1","2017","National","E92000001","England","660","2.6","%"
"Ethnicity of children and family social workers","Pakistani","ONS 2011 18+1","2017","National","E92000001","England","330","1.3","%"
"Ethnicity of children and family social workers","Chinese","ONS 2011 18+1","2017","National","E92000001","England","30","0.1","%"
"Ethnicity of children and family social workers","Other Asian","ONS 2011 18+1","2017","National","E92000001","England","170","0.7","%"
"Ethnicity of children and family social workers","Black","ONS 2011 18+1","2017","National","E92000001","England","2670","10.6","%"
"Ethnicity of children and family social workers","Black African","ONS 2011 18+1","2017","National","E92000001","England","1100","4.4","%"
"Ethnicity of children and family social workers","Black Caribbean","ONS 2011 18+1","2017","National","E92000001","England","1130","4.5","%"
"Ethnicity of children and family social workers","Other Black","ONS 2011 18+1","2017","National","E92000001","England","440","1.7","%"
"Ethnicity of children and family social workers","Mixed","ONS 2011 18+1","2017","National","E92000001","England","790","3.1","%"
"Ethnicity of children and family social workers","Mixed White and Asian","ONS 2011 18+1","2017","National","E92000001","England","130","0.5","%"
"Ethnicity of children and family social workers","Mixed White and Black African","ONS 2011 18+1","2017","National","E92000001","England","140","0.6","%"
"Ethnicity of children and family social workers","Mixed White and Black Caribbean","ONS 2011 18+1","2017","National","E92000001","England","290","1.2","%"
"Ethnicity of children and family social workers","Other Mixed","ONS 2011 18+1","2017","National","E92000001","England","220","0.9","%"
"Ethnicity of children and family social workers","White","ONS 2011 18+1","2017","National","E92000001","England","20150","80","%"
"Ethnicity of children and family social workers","White British","ONS 2011 18+1","2017","National","E92000001","England","18410","73.1","%"
"Ethnicity of children and family social workers","White Irish","ONS 2011 18+1","2017","National","E92000001","England","390","1.6","%"
"Ethnicity of children and family social workers","Other White","ONS 2011 18+1","2017","National","E92000001","England","1350","5.3","%"
"Ethnicity of children and family social workers","Other","ONS 2011 18+1","2017","National","E92000001","England","250","1","%"
"Ethnicity of children and family social workers","All","ONS 2011 18+1","2017","National","E92000001","England","30660","N/A","%"
"Ethnicity of children and family social workers","Total with known ethnicity","ONS 2011 18+1","2017","National","E92000001","England","25190","100","%"
"Ethnicity of children and family social workers","Unknown","ONS 2011 18+1","2017","National","E92000001","England","5470","N/A","%"
"Ethnicity of children and family social workers","Asian","ONS 2011 18+1","2018","National","E92000001","England","1440","5.5","%"
"Ethnicity of children and family social workers","Bangladeshi","ONS 2011 18+1","2018","National","E92000001","England","150","0.6","%"
"Ethnicity of children and family social workers","Indian","ONS 2011 18+1","2018","National","E92000001","England","660","2.5","%"
"Ethnicity of children and family social workers","Pakistani","ONS 2011 18+1","2018","National","E92000001","England","380","1.4","%"
"Ethnicity of children and family social workers","Chinese","ONS 2011 18+1","2018","National","E92000001","England","40","0.1","%"
"Ethnicity of children and family social workers","Other Asian","ONS 2011 18+1","2018","National","E92000001","England","210","0.8","%"
"Ethnicity of children and family social workers","Black","ONS 2011 18+1","2018","National","E92000001","England","2920","11.1","%"
"Ethnicity of children and family social workers","Black African","ONS 2011 18+1","2018","National","E92000001","England","1270","4.8","%"
"Ethnicity of children and family social workers","Black Caribbean","ONS 2011 18+1","2018","National","E92000001","England","1140","4.4","%"
"Ethnicity of children and family social workers","Other Black","ONS 2011 18+1","2018","National","E92000001","England","500","1.9","%"
"Ethnicity of children and family social workers","Mixed","ONS 2011 18+1","2018","National","E92000001","England","880","3.3","%"
"Ethnicity of children and family social workers","Mixed White and Asian","ONS 2011 18+1","2018","National","E92000001","England","150","0.6","%"
"Ethnicity of children and family social workers","Mixed White and Black African","ONS 2011 18+1","2018","National","E92000001","England","140","0.5","%"
"Ethnicity of children and family social workers","Mixed White and Black Caribbean","ONS 2011 18+1","2018","National","E92000001","England","340","1.3","%"
"Ethnicity of children and family social workers","Other Mixed","ONS 2011 18+1","2018","National","E92000001","England","250","0.9","%"
"Ethnicity of children and family social workers","White","ONS 2011 18+1","2018","National","E92000001","England","20770","79","%"
"Ethnicity of children and family social workers","White British","ONS 2011 18+1","2018","National","E92000001","England","18830","71.7","%"
"Ethnicity of children and family social workers","White Irish","ONS 2011 18+1","2018","National","E92000001","England","650","2.5","%"
"Ethnicity of children and family social workers","Other White","ONS 2011 18+1","2018","National","E92000001","England","1290","4.9","%"
"Ethnicity of children and family social workers","Other","ONS 2011 18+1","2018","National","E92000001","England","280","1.1","%"
"Ethnicity of children and family social workers","All","ONS 2011 18+1","2018","National","E92000001","England","31720","N/A","%"
"Ethnicity of children and family social workers","Total with known ethnicity","ONS 2011 18+1","2018","National","E92000001","England","26280","100","%"
"Ethnicity of children and family social workers","Unknown","ONS 2011 18+1","2018","National","E92000001","England","5450","N/A","%"
"Ethnicity of children and family social workers","All","ONS 2011 18+1","2019","National","E92000001","England","32920","N/A","%"
"Ethnicity of children and family social workers","Total with known ethnicity","ONS 2011 18+1","2019","National","E92000001","England","26880","100","%"
"Ethnicity of children and family social workers","Asian","ONS 2011 18+1","2019","National","E92000001","England","1510","5.6","%"
"Ethnicity of children and family social workers","Bangladeshi","ONS 2011 18+1","2019","National","E92000001","England","170","0.6","%"
"Ethnicity of children and family social workers","Indian","ONS 2011 18+1","2019","National","E92000001","England","710","2.7","%"
"Ethnicity of children and family social workers","Pakistani","ONS 2011 18+1","2019","National","E92000001","England","420","1.6","%"
"Ethnicity of children and family social workers","Chinese","ONS 2011 18+1","2019","National","E92000001","England","40","0.2","%"
"Ethnicity of children and family social workers","Other Asian","ONS 2011 18+1","2019","National","E92000001","England","180","0.7","%"
"Ethnicity of children and family social workers","Black","ONS 2011 18+1","2019","National","E92000001","England","3230","12","%"
"Ethnicity of children and family social workers","Black African","ONS 2011 18+1","2019","National","E92000001","England","1480","5.5","%"
"Ethnicity of children and family social workers","Black Caribbean","ONS 2011 18+1","2019","National","E92000001","England","1180","4.4","%"
"Ethnicity of children and family social workers","Other Black","ONS 2011 18+1","2019","National","E92000001","England","570","2.1","%"
"Ethnicity of children and family social workers","Mixed","ONS 2011 18+1","2019","National","E92000001","England","930","3.5","%"
"Ethnicity of children and family social workers","Mixed White and Asian","ONS 2011 18+1","2019","National","E92000001","England","160","0.6","%"
"Ethnicity of children and family social workers","Mixed White and Black African","ONS 2011 18+1","2019","National","E92000001","England","140","0.5","%"
"Ethnicity of children and family social workers","Mixed White and Black Caribbean","ONS 2011 18+1","2019","National","E92000001","England","380","1.4","%"
"Ethnicity of children and family social workers","Other Mixed","ONS 2011 18+1","2019","National","E92000001","England","250","0.9","%"
"Ethnicity of children and family social workers","White","ONS 2011 18+1","2019","National","E92000001","England","20980","78","%"
"Ethnicity of children and family social workers","White British","ONS 2011 18+1","2019","National","E92000001","England","19040","70.8","%"
"Ethnicity of children and family social workers","White Irish","ONS 2011 18+1","2019","National","E92000001","England","390","1.4","%"
"Ethnicity of children and family social workers","Other White","ONS 2011 18+1","2019","National","E92000001","England","1550","5.7","%"
"Ethnicity of children and family social workers","Other","ONS 2011 18+1","2019","National","E92000001","England","230","0.8","%"
"Ethnicity of children and family social workers","Unknown","ONS 2011 18+1","2019","National","E92000001","England","6040","N/A","%"
"Ethnicity of children and family social workers","All","ONS 2011 18+1","2020","National","E92000001","England","33970","N/A","%"
"Ethnicity of children and family social workers","Total with known ethnicity","ONS 2011 18+1","2020","National","E92000001","England","27510","100","%"
"Ethnicity of children and family social workers","Unknown","ONS 2011 18+1","2020","National","E92000001","England","6460","N/A","%"
"Ethnicity of children and family social workers","Asian","ONS 2011 18+1","2020","National","E92000001","England","1570","5.7","%"
"Ethnicity of children and family social workers","Bangladeshi","ONS 2011 18+1","2020","National","E92000001","England","170","0.6","%"
"Ethnicity of children and family social workers","Indian","ONS 2011 18+1","2020","National","E92000001","England","730","2.6","%"
"Ethnicity of children and family social workers","Pakistani","ONS 2011 18+1","2020","National","E92000001","England","430","1.6","%"
"Ethnicity of children and family social workers","Chinese","ONS 2011 18+1","2020","National","E92000001","England","40","0.1","%"
"Ethnicity of children and family social workers","Other Asian","ONS 2011 18+1","2020","National","E92000001","England","200","0.7","%"
"Ethnicity of children and family social workers","Black","ONS 2011 18+1","2020","National","E92000001","England","3380","12.3","%"
"Ethnicity of children and family social workers","Black African","ONS 2011 18+1","2020","National","E92000001","England","1640","6","%"
"Ethnicity of children and family social workers","Black Caribbean","ONS 2011 18+1","2020","National","E92000001","England","1180","4.3","%"
"Ethnicity of children and family social workers","Other Black","ONS 2011 18+1","2020","National","E92000001","England","560","2","%"
"Ethnicity of children and family social workers","Mixed","ONS 2011 18+1","2020","National","E92000001","England","970","3.5","%"
"Ethnicity of children and family social workers","Mixed White and Asian","ONS 2011 18+1","2020","National","E92000001","England","190","0.7","%"
"Ethnicity of children and family social workers","Mixed White and Black African","ONS 2011 18+1","2020","National","E92000001","England","150","0.5","%"
"Ethnicity of children and family social workers","Mixed White and Black Caribbean","ONS 2011 18+1","2020","National","E92000001","England","390","1.4","%"
"Ethnicity of children and family social workers","Other Mixed","ONS 2011 18+1","2020","National","E92000001","England","250","0.9","%"
"Ethnicity of children and family social workers","White","ONS 2011 18+1","2020","National","E92000001","England","21370","77.7","%"
"Ethnicity of children and family social workers","White British","ONS 2011 18+1","2020","National","E92000001","England","19650","71.4","%"
"Ethnicity of children and family social workers","White Irish","ONS 2011 18+1","2020","National","E92000001","England","350","1.3","%"
"Ethnicity of children and family social workers","Other White","ONS 2011 18+1","2020","National","E92000001","England","1370","5","%"
"Ethnicity of children and family social workers","Other","ONS 2011 18+1","2020","National","E92000001","England","220","0.8","%"
"Ethnicity of children and family social workers","All","ONS 2011 18+1","2021","National","E92000001","England","34680","N/A","%"
"Ethnicity of children and family social workers","Total with known ethnicity","ONS 2011 18+1","2021","National","E92000001","England","27950","100","%"
"Ethnicity of children and family social workers","Unknown","ONS 2011 18+1","2021","National","E92000001","England","6730","N/A","%"
"Ethnicity of children and family social workers","Asian","ONS 2011 18+1","2021","National","E92000001","England","1600","5.7","%"
"Ethnicity of children and family social workers","Bangladeshi","ONS 2011 18+1","2021","National","E92000001","England","180","0.6","%"
"Ethnicity of children and family social workers","Indian","ONS 2011 18+1","2021","National","E92000001","England","720","2.6","%"
"Ethnicity of children and family social workers","Pakistani","ONS 2011 18+1","2021","National","E92000001","England","430","1.5","%"
"Ethnicity of children and family social workers","Chinese","ONS 2011 18+1","2021","National","E92000001","England","40","0.1","%"
"Ethnicity of children and family social workers","Other Asian","ONS 2011 18+1","2021","National","E92000001","England","230","0.8","%"
"Ethnicity of children and family social workers","Black","ONS 2011 18+1","2021","National","E92000001","England","3590","12.8","%"
"Ethnicity of children and family social workers","Black African","ONS 2011 18+1","2021","National","E92000001","England","1790","6.4","%"
"Ethnicity of children and family social workers","Black Caribbean","ONS 2011 18+1","2021","National","E92000001","England","1180","4.2","%"
"Ethnicity of children and family social workers","Other Black","ONS 2011 18+1","2021","National","E92000001","England","620","2.2","%"
"Ethnicity of children and family social workers","Mixed","ONS 2011 18+1","2021","National","E92000001","England","1100","3.9","%"
"Ethnicity of children and family social workers","Mixed White and Asian","ONS 2011 18+1","2021","National","E92000001","England","220","0.8","%"
"Ethnicity of children and family social workers","Mixed White and Black African","ONS 2011 18+1","2021","National","E92000001","England","140","0.5","%"
"Ethnicity of children and family social workers","Mixed White and Black Caribbean","ONS 2011 18+1","2021","National","E92000001","England","460","1.6","%"
"Ethnicity of children and family social workers","Other Mixed","ONS 2011 18+1","2021","National","E92000001","England","290","1","%"
"Ethnicity of children and family social workers","White","ONS 2011 18+1","2021","National","E92000001","England","21420","76.6","%"
"Ethnicity of children and family social workers","White British","ONS 2011 18+1","2021","National","E92000001","England","19690","70.4","%"
"Ethnicity of children and family social workers","White Irish","ONS 2011 18+1","2021","National","E92000001","England","360","1.3","%"
"Ethnicity of children and family social workers","Other White","ONS 2011 18+1","2021","National","E92000001","England","1370","4.9","%"
"Ethnicity of children and family social workers","Other","ONS 2011 18+1","2021","National","E92000001","England","240","0.9","%"
