"Ethnicity","%","Number"
"All","100.0","27,510"
"Asian","5.6","1,530"
"Bangladeshi","0.6","170"
"Indian","2.6","730"
"Pakistani","1.6","430"
"Asian other","0.7","200"
"Black","12.3","3,380"
"Black African","6.0","1,640"
"Black Caribbean","4.3","1,180"
"Black other","2.0","560"
"Mixed","3.5","970"
"Mixed White/Asian","0.7","190"
"Mixed White/Black African","0.5","150"
"Mixed White/Black Caribbean","1.4","390"
"Mixed other","0.9","250"
"White","77.7","21,370"
"White British","71.4","19,650"
"White Irish","1.3","350"
"White other","5.0","1,370"
"Other inc Chinese","1.0","260"
"Chinese","0.1","40"
"Any other","0.8","220"
