"Measure","NHS_trust","NHS_trust_code","Ethnicity","Ethnicity_type","Geography","Geography_type","NHS_trust_type","Comments","Value_type","Relative_likelihood_White:Other"
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","White","White & Other","England","Country","N/A","19.40","%","1.45"
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","Other","White & Other","England","Country","N/A","13.40","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","White","White & Other","London","Grouped region","N/A","21.60","%","1.63"
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","Other","White & Other","London","Grouped region","N/A","13.30","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","White","White & Other","Midlands & East","Grouped region","N/A","18.10","%","1.37"
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","Other","White & Other","Midlands & East","Grouped region","N/A","13.20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","White","White & Other","North","Grouped region","N/A","19.90","%","1.39"
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","Other","White & Other","North","Grouped region","N/A","14.30","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","White","White & Other","South","Grouped region","N/A","19.30","%","1.46"
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","Other","White & Other","South","Grouped region","N/A","13.20","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","White","White & Other","N/A","N/A","Acute","20.10","%","1.55"
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","Other","White & Other","N/A","N/A","Acute","12.90","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","White","White & Other","N/A","N/A","Ambulance","11.40","%","1.45"
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","Other","White & Other","N/A","N/A","Ambulance","7.80","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","White","White & Other","N/A","N/A","Community Provider Trust","19.00","%","1.4"
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","Other","White & Other","N/A","N/A","Community Provider Trust","13.60","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","White","White & Other","N/A","N/A","Mental Health","18.90","%","1.19"
"Percentage of shortlisted applicants who are appointed for an NHS job","N/A","N/A","Other","White & Other","N/A","N/A","Mental Health","15.80","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","2Gether NHS Foundation Trust","RTQ","White","White & Other","South","Grouped region","Mental Health","80.10","%","0.95"
"Percentage of shortlisted applicants who are appointed for an NHS job","2Gether NHS Foundation Trust","RTQ","Other","White & Other","South","Grouped region","Mental Health","84.40","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","REM","White","White & Other","North","Grouped region","Acute","24.80","%","1.35"
"Percentage of shortlisted applicants who are appointed for an NHS job","AINTREE UNIVERSITY HOSPITAL NHS FOUNDATION TRUST","REM","Other","White & Other","North","Grouped region","Acute","18.40","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Airedale NHS Foundation Trust","RCF","White","White & Other","North","Grouped region","Acute","22.60","%","1.73"
"Percentage of shortlisted applicants who are appointed for an NHS job","Airedale NHS Foundation Trust","RCF","Other","White & Other","North","Grouped region","Acute","13.10","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Alder Hey Children's NHS Foundation Trust","RBS","White","White & Other","North","Grouped region","Acute","21.90","%","1.2"
"Percentage of shortlisted applicants who are appointed for an NHS job","Alder Hey Children's NHS Foundation Trust","RBS","Other","White & Other","North","Grouped region","Acute","18.30","%","-"
"Percentage of shortlisted applicants who are appointed for an NHS job","Ashford and St Peter's Hospitals NHS Foundation Trust","RTK","White","White & Other","South","Grouped region","Acute","14.60","%","1.25"
"Percentage of shortlisted applicants who are appointed for an NHS job","Ashford and St Peter's Hospitals NHS Foundation Trust","RTK","Other","White & Other","South","Grouped region","Acute","11.60","%","-"
